Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -1058.1955   -1059.3133       1.1178   480.4
0.0100       -1058.0332   -1058.9538       0.9206   395.7
0.0200       -1057.8699   -1059.1834       1.3135   564.5
0.0300       -1057.7792   -1059.0756       1.2963   557.1
0.0400       -1057.7230   -1058.9271       1.2041   517.5
0.0500       -1057.5949   -1058.9193       1.3244   569.2
0.0600       -1057.4667   -1058.7370       1.2703   546.0
0.0700       -1057.4589   -1058.8960       1.4371   617.7
0.0800       -1057.2835   -1058.7363       1.4528   624.4
0.0900       -1057.1482   -1058.6343       1.4862   638.8
0.1000       -1057.1418   -1058.3093       1.1675   501.8
