       Step     Time          Energy          fmax
LBFGS:    0 11:39:33    -1058.729222        4.805617
LBFGS:    1 11:39:33    -1059.033354        5.624832
LBFGS:    2 11:39:33    -1059.390716        1.121651
LBFGS:    3 11:39:33    -1059.493732        1.073169
LBFGS:    4 11:39:33    -1059.577490        1.121045
LBFGS:    5 11:39:33    -1059.644737        1.184822
LBFGS:    6 11:39:33    -1059.680341        0.635106
LBFGS:    7 11:39:33    -1059.716411        0.742521
LBFGS:    8 11:39:33    -1059.754569        0.466167
LBFGS:    9 11:39:33    -1059.772635        0.354060
LBFGS:   10 11:39:33    -1059.789073        0.282247
LBFGS:   11 11:39:33    -1059.801411        0.338925
LBFGS:   12 11:39:33    -1059.811946        0.240779
LBFGS:   13 11:39:33    -1059.819973        0.258419
LBFGS:   14 11:39:33    -1059.826259        0.221935
LBFGS:   15 11:39:33    -1059.832490        0.215297
LBFGS:   16 11:39:33    -1059.838819        0.258763
LBFGS:   17 11:39:33    -1059.844204        0.164004
LBFGS:   18 11:39:34    -1059.848717        0.203199
LBFGS:   19 11:39:34    -1059.854372        0.248772
LBFGS:   20 11:39:34    -1059.863053        0.274647
LBFGS:   21 11:39:34    -1059.873800        0.262670
LBFGS:   22 11:39:34    -1059.882468        0.238064
LBFGS:   23 11:39:34    -1059.887742        0.177288
LBFGS:   24 11:39:34    -1059.891046        0.162208
LBFGS:   25 11:39:34    -1059.893601        0.129004
LBFGS:   26 11:39:34    -1059.895780        0.106395
LBFGS:   27 11:39:34    -1059.897370        0.088919
LBFGS:   28 11:39:34    -1059.898560        0.085299
LBFGS:   29 11:39:34    -1059.899407        0.070453
LBFGS:   30 11:39:34    -1059.899990        0.061690
LBFGS:   31 11:39:34    -1059.900426        0.053807
LBFGS:   32 11:39:34    -1059.900856        0.048056
LBFGS:   33 11:39:34    -1059.901332        0.050882
LBFGS:   34 11:39:34    -1059.901813        0.051210
LBFGS:   35 11:39:34    -1059.902280        0.057783
LBFGS:   36 11:39:34    -1059.902788        0.060713
LBFGS:   37 11:39:34    -1059.903429        0.062477
LBFGS:   38 11:39:34    -1059.904192        0.062481
LBFGS:   39 11:39:34    -1059.904913        0.074897
LBFGS:   40 11:39:34    -1059.905488        0.072863
LBFGS:   41 11:39:34    -1059.905986        0.064173
LBFGS:   42 11:39:34    -1059.906479        0.054721
LBFGS:   43 11:39:34    -1059.906949        0.047484
LBFGS:   44 11:39:34    -1059.907378        0.049865
LBFGS:   45 11:39:34    -1059.907800        0.049726
LBFGS:   46 11:39:34    -1059.908259        0.052261
LBFGS:   47 11:39:34    -1059.908716        0.051893
LBFGS:   48 11:39:34    -1059.909052        0.044074
LBFGS:   49 11:39:34    -1059.909232        0.024301
LBFGS:   50 11:39:35    -1059.909331        0.021681
LBFGS:   51 11:39:35    -1059.909415        0.022733
LBFGS:   52 11:39:35    -1059.909514        0.025563
LBFGS:   53 11:39:35    -1059.909636        0.026303
LBFGS:   54 11:39:35    -1059.909769        0.023376
LBFGS:   55 11:39:35    -1059.909891        0.020331
LBFGS:   56 11:39:35    -1059.910004        0.023538
LBFGS:   57 11:39:35    -1059.910136        0.026446
LBFGS:   58 11:39:35    -1059.910320        0.032325
LBFGS:   59 11:39:35    -1059.910550        0.032955
LBFGS:   60 11:39:35    -1059.910766        0.034634
LBFGS:   61 11:39:35    -1059.910935        0.032585
LBFGS:   62 11:39:35    -1059.911095        0.030880
LBFGS:   63 11:39:35    -1059.911299        0.034073
LBFGS:   64 11:39:35    -1059.911555        0.038100
LBFGS:   65 11:39:35    -1059.911818        0.038806
LBFGS:   66 11:39:35    -1059.912044        0.034261
LBFGS:   67 11:39:35    -1059.912238        0.030408
LBFGS:   68 11:39:35    -1059.912404        0.028705
LBFGS:   69 11:39:35    -1059.912530        0.025870
LBFGS:   70 11:39:35    -1059.912618        0.021483
LBFGS:   71 11:39:35    -1059.912696        0.020471
LBFGS:   72 11:39:35    -1059.912782        0.030516
LBFGS:   73 11:39:35    -1059.912889        0.028382
LBFGS:   74 11:39:35    -1059.912958        0.018480
LBFGS:   75 11:39:35    -1059.912987        0.011007
LBFGS:   76 11:39:35    -1059.913006        0.012019
LBFGS:   77 11:39:35    -1059.913036        0.017461
LBFGS:   78 11:39:35    -1059.913072        0.021456
LBFGS:   79 11:39:35    -1059.913104        0.018669
LBFGS:   80 11:39:35    -1059.913127        0.011749
LBFGS:   81 11:39:35    -1059.913145        0.008619
