Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2127.729    -2140.091       12.362   314.6
0.0100        -2126.765    -2133.967        7.202   183.3
0.0200        -2125.774    -2132.909        7.135   181.6
0.0300        -2125.115    -2132.148        7.033   179.0
0.0400        -2124.341    -2131.714        7.373   187.6
0.0500        -2123.898    -2131.378        7.480   190.3
0.0600        -2123.211    -2131.676        8.465   215.4
0.0700        -2122.691    -2130.743        8.052   204.9
0.0800        -2121.887    -2130.909        9.022   229.6
0.0900        -2121.417    -2130.821        9.405   239.3
0.1000        -2120.735    -2130.907       10.171   258.8
